"Ativo","Data","Último (R$)","Var. Dia (%)","Var. Sem. (%)","Var. Mês (%)","Var. Ano (%)","Var. 12M (%)","Val. Mín","Val. Máx","Volume"
"GCRI11","17h00","65,20","-0,29","-0,88","-2,67","-25,30","-25,94","64,50","65,28","75,77 K"
"BABA34","17h11","20,46","-0,29","-1,92","-0,63","56,40","46,98","20,23","20,71","7,93 M"
"GURU11","10h15","10,22","-0,29","-0,20","-2,11","-5,11","9,77","10,22","10,22","3,84 K"
"NVDC34","17h16","17,00","-0,29","3,34","23,64","241,26","277,75","16,76","17,14","278,44 M"
"BMMT11","17h16","118,87","-0,29","-0,27","-0,80","3,07","20,14","118,87","118,87","24,28 K"
"SEQR11","16h53","50,83","-0,29","0,83","-0,66","-13,92","-13,85","50,81","51,00","226,02 K"
"XBOV11","17h16","127,43","-0,30","-0,41","-1,39","-3,03","15,11","127,43","127,43","5,6 K"
"GOVE11","17h15","56,68","-0,30","-0,47","-1,34","-2,86","15,23","56,51","56,84","45,54 K"
"TUPY3","17h07","23,21","-0,30","-0,09","-9,72","-18,98","-5,95","23,10","23,41","26,27 M"
"TASA4","17h06","9,94","-0,30","-0,30","-4,42","-32,97","-35,39","9,92","10,02","3,05 M"
"SVAL11","17h15","132,11","-0,30","-2,33","3,54","20,49","45,67","131,91","133,92","700,38 K"
"A1LG34","10h09","306,59","-0,30","-0,20","-8,26","-6,81","-9,65","306,59","306,59","15,39 K"
"HGBS11","17h05","200,61","-0,30","-0,64","-1,37","-13,06","-12,02","200,40","202,00","4,34 M"
"USBC34","15h28","68,53","-0,31","-2,00","11,21","31,81","78,74","68,53","68,53","2,5 K"
"BACW39","17h05","68,22","-0,31","-0,74","4,89","38,17","52,03","67,88","68,49","2,44 M"
"BOVS11","17h16","100,22","-0,31","-0,42","-1,42","-3,02","15,27","99,42","100,23","155,45 K"
"BOVB11","17h16","132,05","-0,31","-0,41","-1,31","-2,88","15,68","131,28","132,05","737,53 K"
"EURP11","17h15","12,85","-0,31","-1,53","0,55","26,35","40,74","12,78","12,94","997,15 K"
"RADL3","17h07","25,26","-0,32","0,40","-0,44","-13,71","-3,97","24,96","25,43","358,36 M"
"CGRA4","16h21","24,93","-0,32","-2,96","-0,84","-2,61","5,21","24,93","25,01","107,8 K"
"TRXB11","15h19","141,00","-0,33","-0,32","9,30","4,44","10,16","141,00","141,00","7,39 K"
"BIEU39","16h43","55,84","-0,34","-0,89","0,83","26,48","40,89","55,84","55,86","707,07 K"
"BEES3","16h53","8,79","-0,34","-0,23","-1,68","-2,89","10,89","8,79","8,86","138,41 K"
"HLOG11","15h42","84,91","-0,34","-0,53","-0,32","-1,04","-6,19","84,25","85,19","189,62 K"
"CSAN3","17h07","11,69","-0,34","-1,02","-10,63","-37,50","-22,78","11,49","11,73","230,45 M"
"ARRI11","17h05","8,49","-0,35","-0,35","-3,85","-6,50","-3,41","8,40","8,52","528,41 K"
"BOVV11","17h17","132,70","-0,35","-0,41","-1,34","-2,86","15,74","131,74","132,89","368,65 M"
"HCTR11","17h05","28,05","-0,36","-2,47","-5,14","-28,92","-33,15","28,05","28,47","1,77 M"
"AGRI11","14h42","47,48","-0,36","0,17","-2,84","-8,69","2,75","47,48","47,58","4,76 K"
"CSMG3","17h07","22,31","-0,36","0,81","-3,17","20,85","60,18","21,94","22,37","32,84 M"
"CEBR5","16h50","16,48","-0,36","0,55","-0,12","7,08","13,73","16,20","16,48","61,61 K"
"PORD11","17h05","8,16","-0,37","0,37","-6,31","-91,02","-90,88","8,12","8,19","663,9 K"
"JSRE11","17h06","61,41","-0,37","-2,49","-2,14","-18,19","-12,23","60,95","62,04","3,91 M"
"RBDS11","16h49","2,62","-0,38","-5,42","-9,66","3,97","-10,88","2,62","2,75","685,7"
"AZOI34","15h01","82,88","-0,38","0,48","5,93","46,25","48,19","82,88","82,88","11,43 K"
"IGTI3","17h05","2,59","-0,38","1,57","0,39","-11,00","5,54","2,54","2,60","237,93 K"
"PETR4","17h07","36,11","-0,39","-1,95","0,28","9,48","19,53","35,99","36,30","1,98 B"
"DIVO11","17h15","94,27","-0,39","-0,26","-1,96","2,25","21,23","93,67","94,27","7,88 M"
"GGRC11","17h05","10,14","-0,39","-0,88","-4,43","-91,08","-91,02","10,13","10,19","3,28 M"
"CJCT11","17h05","57,77","-0,40","-0,19","-3,05","-17,47","-17,46","57,00","57,77","129,61 K"
"A1DM34","13h11","320,32","-0,40","0,57","-2,33","-7,89","-10,23","320,32","320,32","4,18 K"
"PNVL3","17h07","9,88","-0,40","-1,79","-1,34","-24,58","-5,54","9,79","9,96","6,79 M"
"MALL11","17h00","100,30","-0,41","-0,50","-2,15","-15,57","-12,81","99,57","100,30","3,56 M"
"BITI11","16h19","104,80","-0,41","-2,16","11,15","70,43","127,18","103,45","106,93","545,46 K"
"MXRF11","17h07","9,68","-0,41","-1,02","-2,52","-8,42","-11,84","9,68","9,73","31,45 M"
"ALUP11","17h06","28,98","-0,41","-0,51","-5,14","-0,54","10,84","28,93","29,22","27,41 M"
"RZAK11","17h05","79,07","-0,42","-0,28","0,16","-10,45","-14,68","78,15","79,59","3,8 M"
"OFSA3","17h05","21,50","-0,42","-0,51","2,82","-16,01","2,89","21,16","21,59","161,64 K"
"ELAS11","17h16","127,62","-0,42","-0,50","-1,21","-3,99","15,04","126,83","127,85","238,02 K"
"EVBI11","16h10","9,41","-0,42","-0,32","-3,78","-90,52","-90,19","9,25","9,55","1,08 M"
"BIWM39","17h05","62,97","-0,43","-2,22","4,79","26,97","52,32","62,82","63,36","11,58 M"
"HSAF11","16h53","79,21","-0,43","-0,89","-3,32","-8,52","-5,77","79,10","80,06","1,08 M"
"SBFG3","17h07","13,97","-0,43","2,49","-15,33","20,83","99,63","13,63","14,10","54,64 M"
"Z1TS34","16h18","67,47","-0,43","-0,78","2,07","12,08","29,60","67,03","67,47","170,58 K"
"XFIX11","17h15","11,35","-0,44","-0,87","-2,91","-3,65","0,80","11,31","11,46","283,75 K"
"TRXF11","17h05","101,85","-0,44","-0,92","-3,62","-8,86","-5,56","101,65","102,60","12,99 M"
"BMGB4","17h07","4,19","-0,44","-7,38","12,66","36,21","106,29","4,16","4,27","3,17 M"
"BRCR11","17h05","44,80","-0,44","-0,40","-6,16","-24,45","-18,83","44,55","45,26","2,46 M"
"DEOP34","16h21","43,32","-0,46","-1,37","2,56","14,42","4,75","43,20","43,32","26,89 K"
"ESGD11","17h15","10,80","-0,46","-1,91","0,37","26,61","39,72","10,80","10,80","27,88 K"
"KNRI11","17h05","137,96","-0,46","-0,83","-0,96","-16,64","-13,11","137,57","139,03","13,21 M"
"BIEF39","16h04","53,60","-0,46","-0,83","0,85","29,83","40,10","53,60","53,60","39,57 K"
"GDBR34","16h11","1746,50","-0,47","-0,46","7,60","41,22","50,53","1746,50","1746,50","5,24 K"
"T1OW34","13h45","52,45","-0,47","-2,60","0,20","22,37","60,20","52,45","52,45","3,99 K"
"JOGO11","17h15","104,67","-0,48","-0,32","1,16","50,80","66,01","104,67","104,75","137,49 K"
"VCJR11","17h05","85,45","-0,48","-3,06","-4,34","-9,39","-6,44","84,51","86,38","4,83 M"
"PETR3","17h07","39,44","-0,48","-2,30","0,43","13,53","19,31","39,32","39,86","428,2 M"
"CTSA3","17h00","2,07","-0,48","-3,27","-24,18","-60,34","-14,81","2,07","2,07","9,34 K"
"BITO39","10h30","72,45","-0,48","-1,05","6,51","37,53","58,18","72,45","72,45","818,61 K"
"MBLY3","17h07","2,06","-0,48","1,98","-24,26","1,48","-38,87","2,02","2,09","1,91 M"
"RBVA11","17h07","100,04","-0,49","-1,70","-1,82","-11,91","-11,02","99,90","101,01","4,12 M"
"CATP34","16h47","138,74","-0,49","-1,51","4,52","56,46","80,27","137,48","139,08","331,67 K"
"JALL3","17h07","6,10","-0,49","-1,29","-5,86","-21,41","-27,68","6,08","6,19","4,13 M"
"NSLU11","16h48","168,17","-0,49","-1,58","-1,37","-13,75","-9,23","167,70","169,85","190,5 K"
"DXCO3","17h06","8,07","-0,49","0,00","-5,61","0,85","25,07","7,89","8,19","64,84 M"
"REVE11","16h40","64,20","-0,50","-1,83","1,01","22,15","42,26","64,20","65,28","131,55 K"
"E1WL34","16h11","99,10","-0,50","-0,38","11,34","6,49","12,70","99,10","99,10","3,47 K"
"CPFF11","17h00","63,34","-0,50","0,14","-8,72","-17,74","-12,49","62,21","63,51","1,03 M"
"MATB11","11h37","55,29","-0,50","-0,02","-3,51","-10,68","6,63","55,29","55,35","315,97 K"
"A1MP34","16h11","743,63","-0,50","-0,31","17,07","62,31","91,62","743,63","743,63","28,37 K"
"NDIV11","17h15","110,45","-0,50","-0,41","-3,10","-1,26","21,86","109,76","110,51","765,8 K"
"AIEC11","16h53","47,06","-0,51","-1,86","-11,74","-18,16","-23,94","47,02","47,69","1,25 M"
"FLCR11","17h05","97,59","-0,51","-0,16","-0,51","0,81","1,61","95,80","98,34","154,13 K"
"TAEE4","17h07","11,52","-0,52","-0,43","0,35","-3,12","10,77","11,47","11,59","2,82 M"
"HSML11","17h05","86,40","-0,52","-0,77","-6,48","-10,70","-6,05","86,33","87,49","5,55 M"
"ALZR11","17h05","102,28","-0,53","-1,90","-2,49","-13,06","-10,62","102,05","103,00","3,83 M"
"BBDC3","17h07","13,24","-0,53","-0,75","2,40","-8,94","15,81","13,11","13,39","149,87 M"
"BDVY39","10h20","77,44","-0,53","-0,82","5,43","43,17","52,14","77,44","77,44","1,17 M"
"BREW11","17h16","117,29","-0,53","-0,39","-1,90","-6,71","12,21","117,29","117,29","23,98 K"
"TELB4","17h05","9,25","-0,54","-1,28","-1,91","-29,50","-22,27","9,25","9,25","24,17 K"
"CMIG4","17h07","11,06","-0,54","0,18","-2,98","38,20","39,40","10,92","11,11","184,97 M"
"STBP3","17h07","12,87","-0,54","-0,16","-0,28","63,14","109,79","12,87","12,99","164,56 M"
"XPML11","17h06","104,51","-0,54","-1,96","-2,72","-10,77","-5,89","104,00","105,22","28,96 M"
"TRPL3","15h19","31,02","-0,55","0,19","-0,58","-12,50","8,20","31,02","31,14","43,54 K"
"HABT11","16h54","81,73","-0,55","-0,63","-5,50","-10,19","-9,29","81,69","82,26","2,08 M"
"AVGO34","17h05","14,52","-0,55","-0,48","5,68","86,03","136,93","14,43","14,72","8,62 M"
"SMAB11","17h16","7,21","-0,55","-0,14","-1,50","-15,18","-0,14","7,17","7,21","10,76 K"
"M1TC34","15h07","10,79","-0,55","-0,37","5,78","24,31","22,20","10,79","10,79","324,66"
"C1NS34","16h11","376,20","-0,56","-2,37","1,96","-0,25","28,99","376,20","376,20","21,72 K"
"F1NI34","14h53","32,13","-0,56","-0,46","13,21","78,31","109,26","32,13","32,13","12,31 K"
"CYRE3","17h07","21,40","-0,56","-1,20","4,29","-8,51","20,79","21,11","21,53","172,4 M"
"KNSC11","17h06","8,91","-0,56","-1,00","-4,19","-2,41","-89,99","8,86","8,99","10,81 M"
"BLAU3","17h06","14,24","-0,56","-3,72","7,96","-10,78","-9,62","14,01","14,42","4,05 M"
"BBRC11","16h49","109,60","-0,56","-0,34","-4,86","-6,00","-4,72","108,00","109,78","197,97 K"
"ISUS11","17h15","35,32","-0,56","-1,12","-1,92","-6,56","11,63","35,32","35,57","49,57 K"
"EBAY34","11h33","181,85","-0,56","-0,63","2,27","70,31","79,63","181,85","181,85","5,3 K"
"BTLG11","17h07","96,95","-0,56","-0,56","-0,90","-6,66","-3,02","96,80","97,79","17,23 M"
"TRIS3","17h06","5,23","-0,57","-0,95","8,06","-5,82","18,75","5,17","5,32","5,49 M"
"BEWG39","15h05","62,40","-0,57","-1,05","1,63","27,11","50,14","62,40","62,40","15,53 K"
"G1SK34","16h33","43,24","-0,57","-1,73","-2,96","21,67","24,04","43,24","43,24","3,09 K"
"GTWR11","17h05","74,37","-0,57","-0,88","-5,50","-14,61","-7,04","74,23","74,81","1,18 M"
"SMTO3","17h07","25,94","-0,57","0,62","-1,03","-9,12","-28,70","25,70","26,30","48,24 M"
"NSDV11","17h15","118,96","-0,58","-0,52","-3,24","-1,27","21,61","118,46","119,07","736,67 K"
"C1BS34","16h11","58,56","-0,58","-1,01","1,88","-19,12","3,80","58,56","58,56","22,26 K"
"AURE3","17h07","10,20","-0,58","-2,02","-2,49","-20,90","-13,56","10,07","10,24","99,91 M"
"GOAU3","17h06","10,15","-0,59","-0,78","-5,49","-5,67","12,06","10,11","10,21","623,05 K"
"VSLH11","17h05","3,33","-0,60","-0,60","-4,86","-19,17","-4,31","3,30","3,34","308,47 K"
"MFII11","17h05","99,40","-0,60","-1,44","-1,76","5,34","6,74","98,65","100,00","2,22 M"
"CXCO11","17h05","62,25","-0,61","-1,35","-8,16","-22,30","-17,00","62,11","63,93","421,04 K"
"BRSR3","16h45","13,07","-0,61","-0,68","2,11","-2,12","17,86","13,03","13,23","368,63 K"
"J1EF34","14h29","373,70","-0,61","-1,67","16,62","97,49","134,98","373,70","373,70","11,97 K"
"VGIR11","17h05","9,57","-0,62","0,00","-2,35","-2,74","-2,25","9,51","9,63","10,75 M"
"AERI3","17h06","6,34","-0,63","2,26","3,26","-64,78","-60,86","6,16","6,49","1,62 M"
"BCRI11","17h05","63,16","-0,63","-1,05","-5,87","-15,41","-6,98","62,94","63,99","1,24 M"
"BDOM11","17h16","111,10","-0,64","-0,54","-0,67","-3,95","15,71","110,74","114,40","100,11 K"
"ESGB11","17h16","103,49","-0,64","-0,45","-2,13","-8,37","11,03","101,51","103,49","15,18 K"
"VGHF11","17h06","7,68","-0,65","-1,03","-9,86","-19,67","-18,90","7,68","7,77","6,26 M"
"DUKB34","10h55","678,64","-0,65","-0,99","8,70","48,94","55,83","678,64","678,64","6,15 K"
"BBDC4","17h07","15,18","-0,65","-0,91","4,62","-6,10","17,48","15,03","15,39","793,64 M"
"URPR11","17h05","68,22","-0,66","-2,40","-15,25","-22,12","-24,20","68,00","68,67","3,33 M"
"ATTB34","17h05","40,92","-0,66","-1,49","3,32","58,53","71,14","40,04","40,92","113,31 K"
"C1DN34","10h30","717,30","-0,66","-2,76","-1,99","8,37","18,44","717,30","717,30","575,32 K"
"TRAD3","17h05","5,98","-0,66","-4,32","20,08","-1,81","-14,57","5,92","6,16","2,78 M"
"CMIN3","17h07","5,96","-0,67","0,51","-6,62","-13,92","45,53","5,88","5,97","63,88 M"
"RNDP11","14h13","44,70","-0,67","-0,67","-22,26","-60,72","-66,64","44,70","45,00","8,5 K"
"SPGI34","16h40","81,52","-0,67","-3,23","5,16","37,45","67,65","81,44","81,52","9,12 K"
"WHRL4","16h37","4,37","-0,68","0,00","-6,02","-1,34","14,68","4,36","4,40","55,46 K"
"LFTT11","13h15","8,60","-0,69","-9,38","-25,22","-73,88","-79,59","8,60","9,10","23,28 K"
"SMFT3","17h06","21,35","-0,70","-4,69","-0,42","-17,72","9,91","21,15","21,63","106,72 M"
"EMBR3","17h07","49,63","-0,70","3,44","3,46","121,66","177,26","48,62","50,05","502,09 M"
"HSLG11","17h05","80,80","-0,70","-1,98","-5,90","-17,97","-10,29","80,76","82,25","1,28 M"
"QAGR11","17h05","45,18","-0,70","0,40","-1,95","-9,82","-7,19","44,90","45,64","495,88 K"
"BITH11","17h15","88,41","-0,71","-1,46","10,87","80,58","139,01","87,52","88,74","15,82 M"
"P1NR34","10h53","560,00","-0,71","-1,06","5,90","77,51","77,51","560,00","560,00","2,81 K"
"LUPA3","17h06","1,38","-0,72","-1,43","-1,43","-38,94","-36,99","1,36","1,40","398,15 K"
"MEAL3","17h05","1,37","-0,72","0,00","2,24","-30,81","-14,91","1,35","1,38","732,34 K"
"CAML3","17h06","8,17","-0,73","0,49","-5,22","-1,45","18,36","8,09","8,22","5,89 M"
"AALL34","17h05","73,45","-0,73","-1,57","19,70","7,51","30,28","72,00","73,45","86 K"
"PAGS34","17h05","9,52","-0,73","-0,73","1,93","-22,41","25,26","9,31","9,55","370,66 K"
"BCIC11","17h16","116,87","-0,73","-0,62","-2,32","-7,44","11,57","116,87","116,87","23,69 K"
"FIIB11","17h05","490,17","-0,73","-1,18","-1,77","-5,58","-5,64","490,05","495,95","756,14 K"
"PRIO3","17h07","41,61","-0,74","-1,35","-3,97","-9,64","-14,67","41,51","42,10","554,57 M"
"HGPO11","17h05","301,05","-0,74","-0,15","2,23","6,38","9,68","300,83","303,49","1,97 M"
"ECOO11","16h48","109,50","-0,75","-0,98","-1,33","-2,73","15,87","109,23","109,80","6,06 K"
"PLCR11","16h53","81,16","-0,76","-0,66","-2,12","-9,13","-9,60","80,53","81,80","623,17 K"
"V1OD34","16h37","27,30","-0,76","-1,52","0,00","35,07","31,05","27,06","27,33","24,95 K"
"VTRU3","17h07","9,05","-0,77","-1,52","-3,10",,,"9,04","9,14","1,5 M"
"CNES11","17h06","1,29","-0,77","1,57","-4,44","-94,31","-94,29","1,29","1,32","99,44 K"
"BIJR39","16h40","82,48","-0,77","-1,62","3,20","25,18","48,20","82,47","82,48","60,34 K"
"CMIG3","17h07","14,15","-0,77","-0,42","-2,95","32,01","29,76","13,98","14,23","3,89 M"
"AMER3","17h06","3,84","-0,78","-0,26","-17,42","-95,78","-95,08","3,81","3,90","9,31 M"
"TAEE3","16h49","11,45","-0,78","-0,78","0,44","-3,42","11,66","11,41","11,54","1,33 M"
"SMAL11","17h18","96,61","-0,78","-0,56","-1,38","-14,66","1,19","96,34","97,67","153,87 M"
"RVBI11","17h05","69,20","-0,79","0,54","-3,43","-16,63","-15,82","69,15","69,90","4,71 M"
"R1IN34","13h25","181,08","-0,79","-1,76","4,12","30,27","52,34","180,90","181,80","82,37 K"
"HTEK11","16h40","56,37","-0,79","-2,47","3,49","17,49","28,88","56,37","56,37","100,3 K"
"A1KA34","10h13","50,10","-0,79","1,11","10,23","3,41","8,18","50,10","50,10","151,44"
"KISU11","17h05","7,48","-0,80","-1,97","-5,67","-13,63","-9,77","7,40","7,53","2,84 M"
"ENGI11","17h07","43,42","-0,80","-0,30","-3,06","-16,01","-0,61","42,85","43,60","140 M"
"U1AL34","14h17","212,07","-0,80","-0,01","31,31","111,23","138,82","211,05","212,07","52,36 K"
"WPLZ11","16h31","59,50","-0,80","7,21","19,00","-8,46","-0,50","59,50","60,75","10,46 K"
"KNOX11","16h35","103,52","-0,81","0,02","0,02","3,89","14,44","103,51","104,38","476,47 K"
"USIM3","17h06","6,05","-0,82","-0,17","0,67","-32,03","2,02","5,99","6,13","2,59 M"
"EQTL3","17h07","32,32","-0,83","-0,49","-0,55","-7,57","4,98","32,02","32,67","368,49 M"
"FATN11","17h05","88,99","-0,84","-0,90","-2,53","-3,27","-3,05","88,97","89,80","1,21 M"
"DEFI11","16h50","25,70","-0,85","0,12","2,59","-7,82","47,79","25,04","26,00","315,47 K"
"GEPA3","16h43","28,75","-0,86","-0,14","3,90","41,46","57,99","28,75","28,75","52,07 K"
"PATL11","17h05","56,31","-0,86","-1,04","-5,99","-18,39","-18,84","56,19","56,98","1,05 M"
"KEPL3","17h06","9,19","-0,86","0,99","-7,73","-10,45","-6,81","9,15","9,30","15,08 M"
"FPAB11","15h45","228,01","-0,87","-0,87","-5,78","14,01","16,33","228,01","232,01","4,63 K"
"RBRF11","17h05","6,79","-0,88","1,95","-2,72","-91,67","-91,24","6,79","6,93","5,96 M"
"BNDA39","16h48","79,36","-0,89","-1,54","-0,68","33,22","45,22","78,80","79,96","293,07 K"
"VISA34","17h05","80,77","-0,90","-1,34","7,74","27,12","39,78","80,77","81,84","414,14 K"
"BEFA39","11h00","57,20","-0,90","-1,52","0,30","27,38","39,20","57,20","57,20","15,36 K"
"WEB311","17h15","29,50","-0,91","2,64","3,58","-7,93","132,28","28,87","29,95","748,42 K"
"HCRI11","17h05","272,00","-0,91","-0,11","-0,29","-9,93","-1,80","272,00","273,06","69,37 K"
"T1MU34","16h11","627,84","-0,91","-0,74","11,78","64,28","83,45","627,84","627,84","8,82 K"
"RFOF11","16h51","65,40","-0,91","-1,09","-5,56","-15,63","-12,77","65,34","66,20","104,68 K"
"LOGG3","17h06","21,75","-0,91","-1,09","-3,76","-1,37","11,43","21,54","21,95","6,65 M"
"NEWL11","17h00","105,00","-0,92","-0,94","-6,91","-8,20","-2,77","104,55","105,90","648,25 K"
"N1VO34","17h10","83,04","-0,92","-2,31","2,37","34,25","30,13","82,04","83,15","610,67 K"
"MDNE3","17h07","14,97","-0,93","-0,27","5,80","12,30","50,45","14,82","15,15","10,23 M"
"GGBR4","17h07","18,17","-0,93","-1,25","-4,87","-5,87","4,80","18,02","18,22","331,71 M"
"SCVB11","17h16","83,31","-0,93","-0,96","-3,70","-14,75","-1,28","83,21","85,95","55,08 K"
"PTNT3","12h36","9,52","-0,94","-0,94","-3,64","-13,30","-14,24","9,52","9,52","2,84 K"
"ABUD34","16h40","61,50","-0,97","0,10","1,94","18,50","40,80","61,36","61,50","66,36 K"
"PEVC11","17h15","202,22","-0,99","-1,53","12,59","57,97","94,22","202,22","203,34","106,82 K"
"FIND11","15h01","127,80","-0,99","-0,75","-1,37","-4,31","18,01","127,76","127,85","1,43 M"
"G1LW34","14h13","268,38","-1,00","1,80","9,85","83,35","79,15","268,38","268,38","3,22 K"
"CPLE6","17h07","9,89","-1,00","-0,10","-1,49","-2,60","20,56","9,80","9,93","249,5 M"
"TMOS34","17h05","69,99","-1,00","-1,78","-0,11","30,61","43,96","69,47","70,34","69,01 K"
"SANB4","17h06","14,76","-1,01","-1,27","0,52","-8,95","10,16","14,73","14,93","1,45 M"
"VISC11","17h05","100,97","-1,01","-1,34","-7,11","-18,46","-13,77","100,56","102,22","9,61 M"
"NFLX34","17h10","86,70","-1,03","-0,57","12,20","82,83","112,45","86,60","87,76","7,33 M"
"AMAR3","17h05","0,96","-1,03","-2,04","-8,57","-74,19","-63,08","0,96","0,98","347,97 K"
"QETH11","17h16","10,54","-1,03","0,38","6,04","24,73","73,07","10,33","10,54","1,59 M"
"TAEE11","17h07","34,35","-1,04","-1,58","0,32","-3,42","10,94","34,23","34,60","74,63 M"
"EGIE3","17h07","41,02","-1,04","-0,89","-3,37","-4,57","6,35","40,76","41,22","64,66 M"
"ROST34","16h11","415,35","-1,04","-1,51","1,60","24,61","42,99","415,35","415,35","6,23 K"
"RAIZ4","17h07","2,85","-1,04","-2,06","-8,06","-28,63","-17,86","2,83","2,89","65,94 M"
"HBOR3","17h07","1,88","-1,05","-0,53","-0,53","-44,93","-17,98","1,87","1,91","1,47 M"
"CVCB3","17h07","1,88","-1,05","1,08","1,08","-46,29","-31,14","1,84","1,91","54,57 M"
"SANB11","17h07","28,19","-1,05","-1,57","0,51","-8,45","10,38","28,12","28,48","85,55 M"
"VOTS11","14h02","74,00","-1,06","-0,76","-4,52","-9,76","-9,96","74,00","74,97","2,82 K"
"PDTC3","16h54","1,86","-1,06","-0,53","2,20","-38,47","-19,44","1,84","1,88","86,46 K"
"ESPA3","17h00","0,93","-1,06","-2,11","-10,58","-23,77","-19,13","0,93","0,95","346,43 K"
"OPCT3","17h07","6,49","-1,07","-1,52","-5,53","2,20","32,18","6,43","6,57","4,46 M"
"D1DG34","14h51","71,12","-1,07","-2,50","13,10","19,13","67,50","71,12","71,12","1,93 K"
"VRTX34","16h11","678,51","-1,07","-1,48","7,49","36,83","47,65","678,51","678,51","179,1 K"
"AIGB34","16h30","442,93","-1,08","-1,08","9,96","38,56","51,38","442,93","442,93","879,42"
"RRCI11","16h24","75,15","-1,08","0,09","-2,03","-9,06","-9,48","74,90","75,96","29,88 K"
"SNEC34","17h05","102,27","-1,09","-1,07","-2,54","12,65","22,74","101,60","102,27","33,6 K"
"NUTR3","15h04","4,51","-1,10","-2,38","-2,59","8,15","19,00","4,51","4,60","12,35 K"
"VSTE3","16h54","9,79","-1,11","-1,61","-20,28","-51,83","-18,04","9,79","9,80","61,22 K"
"CPLE3","17h07","8,87","-1,11","-0,34","-1,99","-4,65","14,69","8,78","8,92","62,43 M"
"CBOP11","16h37","24,72","-1,12","-1,67","-2,87","-22,68","-17,63","24,72","25,00","46,52 K"
"N1CL34","14h22","135,94","-1,12","-1,12","18,21","37,17","99,91","135,94","135,94","135,94"
"ROMI3","17h07","10,42","-1,14","-0,86","-3,79","-14,66","0,10","10,36","10,61","3,32 M"
"OIBR3","17h07","4,34","-1,14","-0,23","-18,11","-31,54","-30,46","4,33","4,40","1,76 M"
"ENGI3","17h05","13,00","-1,14","-0,99","-4,41","-28,12","-10,76","12,85","13,02","59,88 K"
"MCCI11","17h05","81,75","-1,15","-1,72","-7,23","-13,56","-12,57","81,55","82,69","5,89 M"
"TIMS3","17h07","17,21","-1,15","-2,44","-8,12","0,50","20,32","17,08","17,29","131,49 M"
"SBSP3","17h07","91,07","-1,16","-0,02","0,74","22,64","51,19","90,83","91,87","394,55 M"
"GOAU4","17h07","10,21","-1,16","-1,07","-6,50","-3,18","11,49","10,13","10,28","129,16 M"
"A1NE34","16h11","569,56","-1,16","-0,21","9,53","98,38","144,46","561,70","571,61","548,45 K"
